2.0307 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
32.1906 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1920, 1080]. Using actual size
33.0957 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001C7B7563280>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x000001C7B8526430>, multiSample=False, name='window1', numSamples=2, pos=(0, 0), screen=0, size=array([1920, 1080]), stencilBits=0, stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
33.0958 	EXP 	window1: mouseVisible = True
33.0961 	EXP 	window1: mouseVisible = False
33.0961 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
33.0961 	EXP 	window1: recordFrameIntervals = False
33.2618 	EXP 	window1: recordFrameIntervals = True
33.4454 	EXP 	Screen (0) actual frame rate measured at 60.08Hz
33.4454 	EXP 	window1: recordFrameIntervals = False
35.8062 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
35.8144 	EXP 	window1: mouseVisible = True
35.9353 	EXP 	Created slider = Slider(__class__=<class 'psychopy.visual.slider.Slider'>, autoDraw=False, autoLog=True, borderColor=None, color=None, colorSpace='rgb', depth=-1, fillColor=None, flip=False, font='Open Sans', granularity=0.0, labelColor=None, labelHeight=0.05, labelWrapWidth=None, labels=['Familiar', 'Unfamiliar'], lineColor=None, markerColor=None, name='slider', opacity=None, ori=0.0, pos=array([ 0. , -0.3]), readOnly=False, self=UNKNOWN, size=array([1. , 0.1]), startValue=None, style='rating', styleTweaks=[], ticks=array([1, 2, 3, 4, 5]), units='height', win=Window(...))
35.9361 	EXP 	Created text_2 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text_2', opacity=1.0, ori=0.0, pos=array([0. , 0.3]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
36.0164 	EXP 	Created text_3 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text_3', opacity=1.0, ori=0.0, pos=array([ 0. , -0.3]), rgb=UNKNOWN, text='Click to submit', units='height', win=Window(...), wrapWidth=1)
36.0165 	EXP 	window1: mouseVisible = True
36.0261 	EXP 	Imported Study_word.xlsx as conditions, 5 conditions, 1 params
36.0280 	EXP 	Created sequence: random, trialTypes=5, nReps=1, seed=None
36.0284 	EXP 	New trial (rep=0, index=0): {'study_word': 'tiger'}
36.0957 	EXP 	slider: autoLog = True
36.0957 	EXP 	slider: markerPos = None
36.0957 	EXP 	slider: styleTweaks = []
36.0957 	EXP 	slider: styleTweaks = []
36.0957 	EXP 	slider: styleTweaks = []
36.0957 	EXP 	slider: styleTweaks = []
36.0957 	EXP 	slider: contrast = 1.0
36.0957 	EXP 	slider: autoLog = True
36.0957 	EXP 	textbox: autoLog = True
36.0957 	EXP 	text: height = 0.05
36.0957 	EXP 	text: height = 0.05
36.0957 	EXP 	text: height = 0.05
36.0957 	EXP 	text: text = 'tiger'
36.0957 	EXP 	slider: markerPos = None
36.0957 	EXP 	slider: markerPos = None
36.0957 	EXP 	text: autoDraw = True
36.0957 	EXP 	slider: autoDraw = True
